id,age_cat,is_recid
,Less than 25,0
9800,Greater than 45,0
4899,Greater than 45,0
,25 - 45,0
3816,25 - 45,0
,Greater than 45,0
,Less than 25,0
9152,25 - 45,0
4656,25 - 45,0
991,Greater than 45,0
,25 - 45,0
5932,25 - 45,0
5933,25 - 45,0
,25 - 45,0
,Less than 25,0
,Greater than 45,0
10177,Less than 25,1
10178,Less than 25,1
,Less than 25,0
,25 - 45,0
,25 - 45,0
4799,Greater than 45,0
209,25 - 45,0
4602,Greater than 45,0
,Greater than 45,1
760,25 - 45,0
,Greater than 45,0
4674,25 - 45,1
4515,25 - 45,0
10427,Greater than 45,0
4984,25 - 45,1
,Greater than 45,0
,Less than 25,0
,Less than 25,0
8525,Less than 25,0
3218,Greater than 45,0
,Less than 25,0
,Less than 25,0
,Greater than 45,0
6672,25 - 45,0
3328,Greater than 45,0
194,Less than 25,0
217,Greater than 45,0
1012,Greater than 45,1
1013,Greater than 45,1
10833,Greater than 45,0
10266,25 - 45,0
1756,Less than 25,0
2579,25 - 45,0
10621,25 - 45,0
10622,25 - 45,0
,Greater than 45,0
3066,Less than 25,0
,25 - 45,0
,Greater than 45,1
,Greater than 45,1
,25 - 45,0
,Greater than 45,0
,Greater than 45,0
1837,25 - 45,1
1838,25 - 45,1
726,Greater than 45,1
727,Greater than 45,1
1135,25 - 45,1
5194,25 - 45,0
10039,25 - 45,1
10040,25 - 45,1
10041,25 - 45,1
,Less than 25,0
,Less than 25,0
10018,25 - 45,0
2854,Greater than 45,1
3493,Greater than 45,0
9681,25 - 45,0
,Greater than 45,0
3508,25 - 45,1
3509,25 - 45,1
3510,25 - 45,1
3511,25 - 45,1
1218,Less than 25,0
,Greater than 45,0
6310,25 - 45,0
,Greater than 45,0
,Greater than 45,0
5969,Greater than 45,0
5970,Greater than 45,0
5971,Greater than 45,0
252,25 - 45,0
,Greater than 45,0
6222,25 - 45,1
6223,25 - 45,1
6224,25 - 45,1
6619,25 - 45,1
708,25 - 45,0
9517,25 - 45,1
9518,25 - 45,1
,Less than 25,1
,Less than 25,1
,25 - 45,0
,25 - 45,0
,25 - 45,0
5914,25 - 45,0
9650,Less than 25,1
602,25 - 45,1
5291,Greater than 45,0
,25 - 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
141,Greater than 45,0
9021,25 - 45,0
9022,25 - 45,0
8824,25 - 45,0
,25 - 45,1
1340,Less than 25,0
4439,Greater than 45,0
4975,Greater than 45,0
4191,25 - 45,1
4192,25 - 45,1
4193,25 - 45,1
4194,25 - 45,1
4195,25 - 45,1
7277,25 - 45,1
7519,25 - 45,0
,Less than 25,0
,Less than 25,1
,25 - 45,0
6462,25 - 45,0
6463,25 - 45,0
4131,25 - 45,0
,25 - 45,0
,25 - 45,0
5935,Less than 25,1
5936,Less than 25,1
5937,Less than 25,1
,Greater than 45,0
,Greater than 45,0
,25 - 45,1
,25 - 45,1
475,25 - 45,0
476,25 - 45,0
6518,25 - 45,0
,Greater than 45,0
8268,25 - 45,0
8269,25 - 45,0
238,25 - 45,0
239,25 - 45,0
4617,Greater than 45,0
7549,25 - 45,0
818,Greater than 45,0
,Greater than 45,0
9576,25 - 45,1
1602,Less than 25,1
1603,Less than 25,1
1604,Less than 25,1
3039,Greater than 45,0
,Greater than 45,0
,25 - 45,0
2235,25 - 45,1
2236,25 - 45,1
2237,25 - 45,1
2238,25 - 45,1
7816,Less than 25,1
7817,Less than 25,1
,25 - 45,0
,Less than 25,1
,Less than 25,1
,25 - 45,1
9533,Greater than 45,0
9534,Greater than 45,0
10055,25 - 45,0
10056,25 - 45,0
7066,25 - 45,1
7067,25 - 45,1
7068,25 - 45,1
7069,25 - 45,1
2154,25 - 45,0
2155,25 - 45,0
2156,25 - 45,0
,Less than 25,0
10350,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
8535,25 - 45,1
8536,25 - 45,1
8537,25 - 45,1
,25 - 45,0
3114,Greater than 45,0
2743,25 - 45,0
,Greater than 45,0
6650,Less than 25,1
6651,Less than 25,1
489,Less than 25,0
2621,25 - 45,0
,25 - 45,0
,Greater than 45,0
,Greater than 45,0
4713,Less than 25,0
4714,Less than 25,0
643,25 - 45,0
1165,25 - 45,1
1166,25 - 45,1
1167,25 - 45,1
1168,25 - 45,1
,25 - 45,1
1028,Greater than 45,0
7355,25 - 45,0
7356,25 - 45,0
